id	address	end	name	entries	byte_length	confidence	source
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803280	40803280		Pointer table 40803280	59	236		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803380	40803380		Pointer table 40803380	12	48		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408033C0	408033C0		Pointer table 408033C0	64	312		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803510	40803510		Pointer table 40803510	18	72		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803570	40803570		Pointer table 40803570	62	248		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408036A0	408036A0		Pointer table 408036A0	53	212		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803790	40803790		Pointer table 40803790	64	784		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803AB0	40803AB0		Pointer table 40803AB0	64	888		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803E40	40803E40		Pointer table 40803E40	12	48		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803E80	40803E80		Pointer table 40803E80	64	336		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803FE0	40803FE0		Pointer table 40803FE0	35	140		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40804080	40804080		Pointer table 40804080	32	128		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40804130	40804130		Pointer table 40804130	34	136		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408041D0	408041D0		Pointer table 408041D0	64	776		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408044F0	408044F0		Pointer table 408044F0	64	956		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408048C0	408048C0		Pointer table 408048C0	37	148		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40804970	40804970		Pointer table 40804970	64	1012		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40804D80	40804D80		Pointer table 40804D80	64	480		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40804F90	40804F90		Pointer table 40804F90	9	36		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40804FD0	40804FD0		Pointer table 40804FD0	64	280		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40805100	40805100		Pointer table 40805100	29	116		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408051B0	408051B0		Pointer table 408051B0	64	316		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40805300	40805300		Pointer table 40805300	44	176		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408053C0	408053C0		Pointer table 408053C0	6	24		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408053F0	408053F0		Pointer table 408053F0	64	468		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408A4F74	408A4F74		Pointer table 408A4F74	63	252		rom_structure_analysis
pointer_table:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4090EC34	4090EC34		Pointer table 4090EC34	63	252		rom_structure_analysis
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4096FE92	4096FE92		Pointer table 4096FE92	15	60		rom_structure_analysis
